"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
806,674,"Dario","Fo","IT","","male",1997,"literature"," emulates  jesters   Middle Ages  scourging authority  upholding  dignity   downtrodden"
807,663,"Wole","Soyinka","NG","","male",1986,"literature","   wide cultural perspective   poetic overtones fashions  drama  existence"
808,662,"Claude","Simon","MG","FR","male",1985,"literature","   novel combines  poet's   painter's creativeness   deepened awareness  time   depiction   human condition"
809,801,"Harold","Pinter","GB","GB","male",2005,"literature","   plays uncovers  precipice under everyday prattle  forces entry  oppression's closed rooms"
810,763,"John M.","Coetzee","ZA","","male",2003,"literature","  innumerable guises portrays  surprising involvement   outsider"
811,808,"Orhan","Pamuk","TR","","male",2006,"literature","   quest   melancholic soul   native city  discovered new symbols   clash  interlacing  cultures"
812,880,"Mo","Yan","CN","","male",2012,"literature","  hallucinatory realism merges folk tales history   contemporary"
813,675,"Jos_","Saramago","PT","ES","male",1998,"literature","  parables sustained  imagination compassion  irony continually enables us once again  apprehend  elusory reality"
814,671,"Kenzaburo","Oe","JP","","male",1994,"literature","  poetic force creates  imagined world  life  myth condense  form  disconcerting picture   human predicament today"
815,657,"Czeslaw","Milosz","LT","PL","male",1980,"literature","  uncompromising clear-sightedness voices man's exposed condition   world  severe conflicts"
816,665,"Naguib","Mahfouz","EG","EG","male",1988,"literature","  works rich  nuance  now clear-sightedly realistic now evocatively ambiguous   formed  Arabian narrative art  applies  all mankind"
817,676,"GÙnter","Grass","PL","DE","male",1999,"literature","whose frolicsome black fables portray  forgotten face  history"
