"","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
"283",816,"Gerhard","Ertl","DE","","male",2007,"chemistry","""for his studies of chemical processes on solid surfaces"""
"284",806,"Roger D.","Kornberg","US","","male",2006,"chemistry","""for his studies of the molecular basis of eukaryotic transcription"""
"285",292,"Ahmed H.","Zewail","EG","","male",1999,"chemistry","""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"""
"286",249,"William N.","Lipscomb","US","US","male",1976,"chemistry","""for his studies on the structure of boranes illuminating problems of chemical bonding"""
"287",123,"William Alfred","Fowler","US","US","male",1983,"physics","""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
"288",99,"Brian David","Josephson","GB","","male",1973,"physics","""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"""
"289",122,"Subramanyan","Chandrasekhar","PK","US","male",1983,"physics","""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
"290",121,"Kenneth G.","Wilson","US","US","male",1982,"physics","""for his theory for critical phenomena in connection with phase transitions"""
"291",586,"Karl Adolph","Gjellerup","DK","DE","male",1917,"literature","""for his varied and rich poetry, which is inspired by lofty ideals"""
"292",603,"Sinclair","Lewis","US","IT","male",1930,"literature","""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"""
"293",626,"HalldÑr Kiljan","Laxness","IS","IS","male",1955,"literature","""for his vivid epic power which has renewed the great narrative art of Iceland"""
"294",641,"Miguel Angel","Asturias","GT","ES","male",1967,"literature","""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"""
"295",725,"Kim","Dae-jung","KR","","male",2000,"peace","""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"""
"296",549,"Oscar","Arias Sànchez","CR","","male",1987,"peace","""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"""
"297",218,"Vincent","du Vigneaud","US","US","male",1955,"chemistry","""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"""
"298",198,"Richard","Kuhn","AT","DE","male",1938,"chemistry","""for his work on carotenoids and vitamins"""
"299",9,"Philipp Eduard Anton","von Lenard","SK","DE","male",1905,"physics","""for his work on cathode rays"""
"300",743,"K. Barry","Sharpless","US","","male",2001,"chemistry","""for his work on chirally catalysed oxidation reactions"""
"301",183,"The (Theodor)","Svedberg","SE","SE","male",1926,"chemistry","""for his work on disperse systems"""
"302",294,"Ronald","Ross","IN","GB","male",1902,"medicine","""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
